Finestra,Simbolo,DataOra,Close
SOLARE,EURUSD,2025.01.30 04:00,1.04231
SOLARE,EURUSD,2025.01.30 05:00,1.04253
SOLARE,EURUSD,2025.01.30 06:00,1.04191
SOLARE,EURUSD,2025.01.30 07:00,1.04219
SOLARE,EURUSD,2025.01.30 08:00,1.04140
SOLARE,EURUSD,2025.01.30 09:00,1.04240
SOLARE,EURUSD,2025.01.30 10:00,1.04218
SOLARE,EURUSD,2025.01.30 11:00,1.04075
SOLARE,EURUSD,2025.01.30 12:00,1.04008
SOLARE,EURUSD,2025.01.30 13:00,1.03918
SOLARE,EURUSD,2025.01.30 14:00,1.04034
SOLARE,EURUSD,2025.01.30 15:00,1.04565
SOLARE,EURUSD,2025.01.30 16:00,1.04282
SOLARE,EURUSD,2025.01.30 17:00,1.04313
SOLARE,EURUSD,2025.01.30 18:00,1.04197
SOLARE,EURUSD,2025.01.30 19:00,1.04171
SOLARE,EURUSD,2025.01.30 20:00,1.04250
SOLARE,EURUSD,2025.01.30 21:00,1.04280
SOLARE,EURUSD,2025.01.30 22:00,1.04075
SOLARE,EURUSD,2025.01.30 23:00,1.03922
SOLARE,EURUSD,2025.01.31 00:00,1.03871
SOLARE,EURUSD,2025.01.31 01:00,1.03969
SOLARE,EURUSD,2025.01.31 02:00,1.03867
SOLARE,EURUSD,2025.01.31 03:00,1.03885
SOLARE,EURUSD,2025.01.31 04:00,1.03898
SOLARE,EURUSD,2025.01.31 05:00,1.03851
SOLARE,EURUSD,2025.01.31 06:00,1.03875
SOLARE,EURUSD,2025.01.31 07:00,1.03888
SOLARE,EURUSD,2025.01.31 08:00,1.03945
SOLARE,EURUSD,2025.01.31 09:00,1.04041
SOLARE,EURUSD,2025.01.31 10:00,1.03844
SOLARE,EURUSD,2025.01.31 11:00,1.03836
SOLARE,EURUSD,2025.01.31 12:00,1.03764
SOLARE,EURUSD,2025.01.31 13:00,1.03759
SOLARE,EURUSD,2025.01.31 14:00,1.03825
SOLARE,EURUSD,2025.01.31 15:00,1.03822
SOLARE,EURUSD,2025.01.31 16:00,1.03687
SOLARE,EURUSD,2025.01.31 17:00,1.03965
SOLARE,EURUSD,2025.01.31 18:00,1.03999
SOLARE,EURUSD,2025.01.31 19:00,1.04201
SOLARE,EURUSD,2025.01.31 20:00,1.03700
SOLARE,EURUSD,2025.01.31 21:00,1.03763
SOLARE,EURUSD,2025.01.31 22:00,1.03736
SOLARE,EURUSD,2025.01.31 23:00,1.03586
LEGALE,EURUSD,2025.07.01 00:00,1.17794
LEGALE,EURUSD,2025.07.01 01:00,1.17856
LEGALE,EURUSD,2025.07.01 02:00,1.17864
LEGALE,EURUSD,2025.07.01 03:00,1.17976
LEGALE,EURUSD,2025.07.01 04:00,1.17803
LEGALE,EURUSD,2025.07.01 05:00,1.17882
LEGALE,EURUSD,2025.07.01 06:00,1.17896
LEGALE,EURUSD,2025.07.01 07:00,1.17864
LEGALE,EURUSD,2025.07.01 08:00,1.17866
LEGALE,EURUSD,2025.07.01 09:00,1.17793
LEGALE,EURUSD,2025.07.01 10:00,1.17860
LEGALE,EURUSD,2025.07.01 11:00,1.18046
LEGALE,EURUSD,2025.07.01 12:00,1.18137
LEGALE,EURUSD,2025.07.01 13:00,1.18115
LEGALE,EURUSD,2025.07.01 14:00,1.18140
LEGALE,EURUSD,2025.07.01 15:00,1.18038
LEGALE,EURUSD,2025.07.01 16:00,1.18026
LEGALE,EURUSD,2025.07.01 17:00,1.17796
LEGALE,EURUSD,2025.07.01 18:00,1.17759
LEGALE,EURUSD,2025.07.01 19:00,1.17655
LEGALE,EURUSD,2025.07.01 20:00,1.17829
LEGALE,EURUSD,2025.07.01 21:00,1.17811
LEGALE,EURUSD,2025.07.01 22:00,1.17911
LEGALE,EURUSD,2025.07.01 23:00,1.18054
LEGALE,EURUSD,2025.07.02 00:00,1.18033
LEGALE,EURUSD,2025.07.02 01:00,1.18027
LEGALE,EURUSD,2025.07.02 02:00,1.18052
LEGALE,EURUSD,2025.07.02 03:00,1.18076
LEGALE,EURUSD,2025.07.02 04:00,1.17937
LEGALE,EURUSD,2025.07.02 05:00,1.18001
LEGALE,EURUSD,2025.07.02 06:00,1.18004
LEGALE,EURUSD,2025.07.02 07:00,1.17963
LEGALE,EURUSD,2025.07.02 08:00,1.17874
LEGALE,EURUSD,2025.07.02 09:00,1.17817
LEGALE,EURUSD,2025.07.02 10:00,1.17742
LEGALE,EURUSD,2025.07.02 11:00,1.17759
LEGALE,EURUSD,2025.07.02 12:00,1.17702
LEGALE,EURUSD,2025.07.02 13:00,1.17678
LEGALE,EURUSD,2025.07.02 14:00,1.17497
LEGALE,EURUSD,2025.07.02 15:00,1.17566
LEGALE,EURUSD,2025.07.02 16:00,1.17598
LEGALE,EURUSD,2025.07.02 17:00,1.17675
LEGALE,EURUSD,2025.07.02 18:00,1.17893
LEGALE,EURUSD,2025.07.02 19:00,1.17885
LEGALE,EURUSD,2025.07.02 20:00,1.17956
LEGALE,EURUSD,2025.07.02 21:00,1.17996
LEGALE,EURUSD,2025.07.02 22:00,1.18023
LEGALE,EURUSD,2025.07.02 23:00,1.17987
LEGALE,EURUSD,2025.07.03 00:00,1.17945
LEGALE,EURUSD,2025.07.03 01:00,1.17984
LEGALE,EURUSD,2025.07.03 02:00,1.17987
LEGALE,EURUSD,2025.07.03 03:00,1.18068
LEGALE,EURUSD,2025.07.03 04:00,1.18044
LEGALE,EURUSD,2025.07.03 05:00,1.17979
LEGALE,EURUSD,2025.07.03 06:00,1.17917
