Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSLMode,InpTPRangeMult,InpUseEma200Filter,InpUseVolumeFilter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTPMode,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpEma200Period,InpMinRangePct,InpMaxRangePct,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
16,327.52,2.59937,1.06584,0.45287,2.94107,6.6988,126,0,1.5,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
46,-631.64,-5.01302,0.95266,-0.12608,-3.79466,35.9997,126,2,2.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
34,-2393.49,-13.99702,0.86722,-0.35455,-5.00000,47.0201,171,2,2.0,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
28,-104.77,-0.61269,0.98517,-0.06915,-0.68938,13.5969,171,0,1.5,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
4,-104.77,-0.61269,0.98517,-0.06915,-0.68938,13.5969,171,0,1.5,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
40,327.52,2.59937,1.06584,0.45287,2.94107,6.6988,126,0,1.5,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
47,365.43,2.90024,1.03838,0.11977,2.12034,23.6895,126,3,2.0,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
11,-300.44,-1.75696,0.97666,-0.11856,-1.34979,20.9149,171,3,2.0,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
23,365.43,2.90024,1.03838,0.11977,2.12034,23.6895,126,3,2.0,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
17,866.34,6.87571,1.09722,0.37969,5.14154,18.8603,126,1,1.5,1,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
29,-151.81,-0.88778,0.98770,-0.05762,-0.70657,22.1245,171,1,1.5,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
35,-300.44,-1.75696,0.97666,-0.11856,-1.34979,20.9149,171,3,2.0,0,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
5,-151.81,-0.88778,0.98770,-0.05762,-0.70657,22.1245,171,1,1.5,0,0,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
41,866.34,6.87571,1.09722,0.37969,5.14154,18.8603,126,1,1.5,1,1,14,30,14,45,16,0,1,1,600,10,1,1,1,5,14,1.5,1000,2,1,0,0,0,9,21,0,0,50,0,200,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB OTT,770611,0,1
