Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpDelayMinutes,InpDelayDirMode,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpBufferPoints,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
823,-14089.42,-61.25835,0.47715,-0.94505,-5.00000,14.9020,230,40,45,1,800,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
438,318.39,3.57742,1.07831,0.13094,1.68191,2.3887,89,35,15,0,500,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
619,2105.82,14.93489,1.32764,0.53828,4.09388,3.7812,141,40,15,2,600,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
647,-4032.35,-29.21993,0.65725,-0.58308,-5.00000,6.8108,138,60,45,2,600,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
617,2105.82,14.93489,1.32764,0.53828,4.09388,3.7812,141,30,15,2,600,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
714,-14364.93,-64.41673,0.43123,-0.94646,-5.00000,15.1373,223,35,45,1,700,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
52,-1532.35,-7.12721,0.73917,-0.35545,-4.41035,4.2027,215,25,30,1,100,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
592,-2931.01,-12.79917,0.79431,-0.33464,-4.48274,8.3998,229,25,30,1,600,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
130,20.21,0.23230,1.00716,0.00684,0.11395,2.8962,87,55,30,0,200,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
61,-10483.39,-50.64440,0.21021,-0.89988,-5.00000,11.5322,207,10,45,1,100,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
799,3738.38,14.43390,1.24017,0.51261,3.74482,6.6842,259,40,15,1,800,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
820,-14089.42,-61.25835,0.47715,-0.94505,-5.00000,14.9020,230,25,45,1,800,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
242,-12588.60,-138.33626,0.15256,-0.95700,-5.00000,13.0928,91,15,45,0,300,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
284,-12252.22,-58.34390,0.36150,-0.79934,-5.00000,14.9066,210,45,45,1,300,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
125,20.21,0.23230,1.00716,0.00684,0.11395,2.8962,87,30,30,0,200,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
224,2644.26,30.04841,142.63149,2.58542,23.14082,1.0019,88,45,15,0,300,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
78,1912.02,15.41952,14.19271,1.34542,8.62577,1.4006,124,35,15,2,100,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
631,-3234.59,-24.50447,0.68050,-0.47292,-5.00000,6.6324,132,40,30,2,600,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
777,-3928.71,-44.14281,0.51477,-0.74808,-5.00000,5.2246,89,50,30,0,800,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
22,-754.47,-8.67207,0.73284,-0.26264,-4.52579,2.8298,87,55,30,0,100,8,0,17,30,1,1,4,2,16408,60,200,120,1,1,0,0,0,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
