Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpRangeMinutes,InpBufferPoints,InpTrailFixedPts,InpSessionHour,InpSessionMin,InpCloseHour,InpCloseMin,InpCloseAtEnd,InpOneTradePerDay,InpEntryMode,InpRangeMode,InpLevelTF,InpPrevWindowMin,InpPendingExpiryMin,InpAllowLong,InpAllowShort,InpMinRangePts,InpMaxRangePts,InpRetestOffsetPts,InpFadeOffsetPts,InpDelayMinutes,InpDelayDirMode,InpUseGapFill,InpGapMinPoints,InpGapMinRR,InpUseEmaFilter,InpEmaFast,InpEmaSlow,InpFilterTF,InpUseSupertrend,InpStAtrPeriod,InpStMultiplier,InpStTF,InpUseSupertrend3,InpUseCorrelation,InpCorrSymbol,InpCorrTF,InpCorrEmaFast,InpCorrEmaSlow,InpUseVwapFilter,InpVwapTF,InpRiskPercent,InpSLMode,InpAtrSlMult,InpAtrPeriodMgmt,InpTP1_R,InpTP1_ClosePct,InpBreakevenAtTP1,InpBEatR,InpUseTrailing,InpTrailMode,InpTrailTF,InpTrailAtrMult,InpUseRoundLevels,InpRoundStep,InpRoundMinDistPts,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpSlippagePts,InpMinStopPts,InpSkipIfTight,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseAtrFilter,InpAtrFilterBars,InpAtrFilterMult,InpConfirmMode,InpMagic,InpMaxSpread,InpVerbose
271,-2501.07,-38.47800,0.61478,-0.72310,-5.00000,3.4544,65,40,300,600,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
326,-2082.26,-30.17768,0.67425,-0.70402,-5.00000,2.9542,69,15,400,700,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
193,1661.98,25.18152,1.59833,0.63800,6.63011,2.5580,66,10,100,500,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
128,-1041.78,-17.07836,0.71366,-0.36794,-5.00000,2.7936,61,45,300,300,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
139,-1372.75,-22.14113,0.60772,-0.44377,-5.00000,3.0533,62,40,400,300,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
299,2268.42,33.35912,1.81077,0.94133,7.97939,2.3666,68,60,100,700,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
182,-1640.42,-26.03841,0.62902,-0.64941,-5.00000,2.5126,63,15,400,400,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
48,757.44,12.02286,1.39433,0.43071,4.05107,1.7401,63,5,100,200,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
72,-1534.52,-25.15607,0.57440,-0.48929,-5.00000,3.1005,61,5,300,200,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
380,-2238.29,-31.97557,0.66963,-0.81607,-5.00000,2.7395,70,45,400,800,8,0,17,30,1,1,0,2,16408,60,120,1,1,0,0,0,0,30,0,0,150,1.5,0,14,200,16385,0,10,2.5,16385,1,1,SPXUSD,16385,14,100,0,15,2,0,1.5,14,1,50,1,0,1,2,1,2,0,100,50,1,abtg_news.csv,3,30,30,0,,1,0,0,1,1,1.5,20,1,20,1,0,770101,0,1
