idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
371;LONG;-1.00;DOWN;2040;2800;0;1.10;0.00;6
372;SHORT;2.00;UP;1670;520;4850;0.24;2.24;62
373;LONG;0.73;DOWN;2530;2360;5260;0.78;1.74;75
374;SHORT;2.00;DOWN;2050;320;5560;0.13;2.18;54
375;LONG;-1.00;DOWN;3540;4110;2790;1.02;0.69;25
376;LONG;-0.01;DOWN;3230;1850;3680;0.50;0.99;71
377;SHORT;0.44;DOWN;2300;1190;4090;0.42;1.46;75
378;LONG;-1.00;DOWN;2350;3530;1550;1.24;0.54;30
379;SHORT;1.68;DOWN;2910;2800;6170;0.82;1.81;73
380;SHORT;1.27;DOWN;3550;2170;7380;0.54;1.82;75
381;LONG;-1.00;DOWN;2210;2850;2130;1.05;0.79;14
382;SHORT;-1.00;UP;2700;3250;40;1.02;0.01;12
383;LONG;2.00;DOWN;2370;0;10320;0.00;3.60;9
384;LONG;0.16;UP;2420;2670;1480;0.91;0.51;73
385;SHORT;-1.00;UP;2730;3800;3520;1.18;1.09;46
386;SHORT;-0.47;UP;2300;1990;3090;0.71;1.10;74
387;SHORT;-1.00;UP;1260;2320;410;1.32;0.23;12
388;SHORT;0.62;UP;1430;1890;1800;0.98;0.93;74
389;LONG;2.00;UP;1320;150;3890;0.08;2.14;33
390;LONG;1.27;UP;2340;60;4320;0.02;1.52;71
391;LONG;1.12;UP;2030;910;3660;0.36;1.45;68
392;SHORT;-1.00;UP;1150;1670;1300;1.01;0.79;16
393;SHORT;-1.00;UP;1620;2180;0;1.03;0.00;1
394;LONG;-1.00;UP;1170;1750;30;1.05;0.02;9
395;LONG;-1.00;UP;1660;3170;670;1.47;0.31;13
396;LONG;1.01;UP;1090;1350;1860;0.85;1.17;75
397;LONG;-1.00;UP;1370;1950;1470;1.04;0.79;39
398;SHORT;-1.00;UP;1550;2240;140;1.09;0.07;10
399;SHORT;-1.00;UP;1480;2100;350;1.06;0.18;43
400;SHORT;-0.38;UP;2100;1740;1270;0.67;0.49;65
401;SHORT;-1.00;UP;1250;1810;0;1.03;0.00;7
402;SHORT;-1.00;UP;3330;3830;730;1.00;0.19;19
403;LONG;-1.04;UP;1860;2450;2080;1.04;0.88;74
404;LONG;-1.00;UP;1030;2010;1500;1.31;0.98;18
405;LONG;0.77;UP;950;980;2230;0.68;1.54;74
406;LONG;2.00;UP;1710;1120;4730;0.51;2.14;72
407;SHORT;-1.00;UP;980;1560;310;1.05;0.21;11
