idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
307;LONG;-1.00;UP;1620;2210;2600;1.04;1.23;6
308;LONG;-1.00;UP;1550;9060;3250;4.42;1.59;9
309;SHORT;2.00;UP;11700;6430;25120;0.53;2.06;18
310;LONG;-1.00;UP;3950;4450;150;1.00;0.03;4
311;LONG;-1.00;DOWN;13530;15520;21730;1.11;1.55;40
312;SHORT;-1.00;DOWN;4300;5750;0;1.20;0.00;3
313;LONG;2.00;UP;2000;50;5290;0.02;2.12;3
314;SHORT;-1.00;UP;7930;8580;5350;1.02;0.63;7
315;LONG;-1.00;UP;2950;8510;5260;2.47;1.52;5
316;LONG;-1.00;UP;1820;2360;0;1.02;0.00;4
317;SHORT;2.00;UP;2350;0;6180;0.00;2.17;4
318;LONG;-1.00;UP;1810;17010;2090;7.36;0.90;9
319;LONG;-1.00;DOWN;2750;7180;3490;2.21;1.07;9
320;SHORT;-1.00;DOWN;3030;3940;340;1.12;0.10;2
321;LONG;2.00;UP;4550;0;10400;0.00;2.06;3
322;SHORT;-1.00;UP;4000;8600;3200;1.91;0.71;8
323;LONG;-1.00;UP;2800;9780;7370;2.96;2.23;6
324;SHORT;-1.00;UP;4240;13170;5360;2.78;1.13;9
325;SHORT;-1.00;UP;11750;13940;14570;1.14;1.19;14
326;SHORT;-1.00;UP;3390;4000;0;1.03;0.00;5
327;SHORT;1.39;UP;20700;0;30800;0.00;1.45;65
328;SHORT;-1.00;DOWN;5850;16080;1400;2.53;0.22;9
329;LONG;2.00;UP;6200;1400;21980;0.21;3.28;5
330;LONG;2.00;UP;4020;3380;12610;0.75;2.79;1
331;LONG;-1.00;DOWN;6250;8470;850;1.25;0.13;5
332;SHORT;-1.00;DOWN;10200;16430;1270;1.54;0.12;2
333;LONG;2.00;DOWN;5650;1800;20550;0.29;3.34;4
334;LONG;2.00;UP;5700;500;25130;0.08;4.05;9
335;SHORT;-1.00;UP;3750;6380;6220;1.50;1.46;8
336;LONG;2.00;DOWN;3170;0;7530;0.00;2.05;8
337;SHORT;2.00;UP;4200;680;17320;0.14;3.69;9
338;SHORT;-1.00;DOWN;3770;4550;2490;1.07;0.58;7
339;LONG;-1.00;DOWN;3850;4500;0;1.03;0.00;1
340;LONG;2.00;DOWN;9800;400;20680;0.04;2.01;4
341;LONG;-1.00;DOWN;4300;19170;13780;3.99;2.87;9
