simbolo,ora_server,campioni,giornate,scartati,overflow,mediana_punti,p95_punti,p99_punti,media_punti,max_punti,mediana_unita,p95_unita,max_unita,unita,punti_per_unita,da_symbol_spread
GBPUSD,11,3562,5,0,0,3,7,7,3.83,7,0.300,0.700,0.700,pip,10,0
GBPUSD,12,3567,5,0,0,3,7,7,3.64,8,0.300,0.700,0.800,pip,10,0
GBPUSD,13,3564,5,0,0,3,7,7,3.74,80,0.300,0.700,8.000,pip,10,0
GBPUSD,14,3578,5,0,0,3,7,7,3.75,7,0.300,0.700,0.700,pip,10,0
GBPUSD,15,3597,5,0,0,3,7,7,3.69,7,0.300,0.700,0.700,pip,10,0
GBPUSD,16,3600,5,0,0,3,7,7,3.66,7,0.300,0.700,0.700,pip,10,0
GBPUSD,17,3600,5,0,0,3,9,9,4.37,9,0.300,0.900,0.900,pip,10,0
GBPUSD,18,3600,5,0,0,3,9,9,4.28,9,0.300,0.900,0.900,pip,10,0
GBPUSD,19,3597,5,0,0,3,9,9,4.33,9,0.300,0.900,0.900,pip,10,0
GBPUSD,20,3594,5,0,0,3,9,9,4.29,9,0.300,0.900,0.900,pip,10,0
GBPUSD,21,3269,6,109,0,5,11,14,5.96,21,0.500,1.100,2.100,pip,10,0
GBPUSD,22,2689,5,298,0,80,80,80,70.80,80,8.000,8.000,8.000,pip,10,0
GBPUSD,23,3595,5,4,0,3,10,10,4.47,80,0.300,1.000,8.000,pip,10,0
USDJPY,0,3599,5,0,0,5,10,10,5.62,10,0.500,1.000,1.000,pip,10,0
USDJPY,1,3600,5,0,0,4,10,10,5.23,10,0.400,1.000,1.000,pip,10,0
USDJPY,2,3600,5,0,0,3,10,10,4.26,10,0.300,1.000,1.000,pip,10,0
USDJPY,3,3600,5,0,0,3,10,10,4.20,10,0.300,1.000,1.000,pip,10,0
USDJPY,4,3600,5,0,0,3,10,10,4.52,10,0.300,1.000,1.000,pip,10,0
USDJPY,5,3600,5,0,0,3,10,10,4.56,10,0.300,1.000,1.000,pip,10,0
USDJPY,6,3585,5,0,0,6,10,10,6.12,10,0.600,1.000,1.000,pip,10,0
