Time,Open,High,Low,Close,Volume
2015.06.15 08:54,17784.000,17787.973,17781.753,17785.827,69
2015.06.15 08:55,17785.829,17785.955,17779.635,17781.925,55
2015.06.15 08:56,17781.831,17787.991,17781.595,17785.986,75
2015.06.15 08:57,17784.896,17784.976,17779.593,17783.913,94
2015.06.15 08:58,17783.918,17783.984,17781.590,17781.717,77
2015.06.15 08:59,17780.774,17780.999,17779.944,17779.944,59
2015.06.15 09:00,17779.953,17784.989,17779.662,17784.713,82
2015.06.15 09:01,17784.821,17784.821,17780.705,17780.859,77
2015.06.15 09:02,17780.840,17783.985,17780.713,17783.897,48
2015.06.15 09:03,17782.656,17785.956,17781.807,17782.900,48
2015.06.15 09:04,17782.996,17783.998,17780.700,17782.785,56
2015.06.15 09:05,17782.971,17783.998,17780.665,17782.781,60
2015.06.15 09:06,17783.767,17784.983,17782.643,17784.800,63
2015.06.15 09:07,17784.987,17784.990,17783.635,17783.859,65
2015.06.15 09:08,17783.898,17785.993,17783.756,17784.836,42
2015.06.15 09:09,17784.940,17785.996,17783.635,17785.878,60
2015.06.15 09:10,17785.891,17786.979,17783.629,17783.899,52
2015.06.15 09:11,17783.765,17783.932,17783.765,17783.809,3
2015.06.15 09:12,17783.980,17783.980,17780.564,17780.621,22
2015.06.15 09:13,17780.818,17781.970,17776.476,17776.969,49
2015.06.15 09:14,17776.972,17776.972,17770.551,17773.858,71
2015.06.15 09:15,17771.486,17775.973,17765.522,17772.983,97
2015.06.15 09:16,17772.624,17772.798,17769.704,17769.996,94
2015.06.15 09:17,17769.831,17772.982,17769.603,17769.919,97
2015.06.15 09:18,17769.901,17769.987,17765.656,17765.860,73
2015.06.15 09:19,17765.806,17765.994,17763.954,17764.740,58
2015.06.15 09:20,17765.788,17765.908,17764.745,17764.833,8
2015.06.15 09:21,17764.731,17765.977,17764.621,17764.695,45
2015.06.15 09:22,17764.787,17764.973,17760.696,17760.813,115
2015.06.15 09:23,17760.923,17760.968,17758.826,17758.897,52
2015.06.15 09:24,17757.888,17762.975,17757.757,17762.860,88
2015.06.15 09:25,17762.924,17762.994,17759.704,17759.760,74
2015.06.15 09:26,17759.851,17759.873,17756.578,17757.749,71
2015.06.15 09:27,17757.984,17761.969,17756.606,17758.773,66
2015.06.15 09:28,17758.884,17762.970,17756.886,17761.705,91
2015.06.15 09:29,17761.737,17769.979,17761.690,17768.875,125
2015.06.15 09:30,17771.998,17771.998,17726.963,17728.861,231
2015.06.15 09:31,17722.954,17724.990,17714.746,17715.819,209
2015.06.15 09:32,17715.799,17718.956,17706.744,17711.705,216
2015.06.15 09:33,17711.961,17717.994,17706.748,17710.987,207
2015.06.15 09:34,17710.821,17719.999,17707.905,17709.756,201
2015.06.15 09:35,17708.735,17713.792,17702.699,17705.830,195
2015.06.15 09:36,17705.684,17721.984,17702.694,17721.858,211
2015.06.15 09:37,17721.827,17728.964,17721.759,17726.834,204
2015.06.15 09:38,17726.982,17728.998,17721.729,17722.873,198
2015.06.15 09:39,17722.736,17728.946,17716.691,17722.994,197
2015.06.15 09:40,17722.828,17733.902,17717.667,17726.773,202
2015.06.15 09:41,17728.997,17731.958,17721.742,17730.894,196
2015.06.15 09:42,17730.771,17730.771,17717.667,17718.765,191
2015.06.15 09:43,17718.814,17724.966,17715.775,17718.819,180
2015.06.15 09:44,17718.881,17718.990,17708.666,17711.797,169
2015.06.15 09:45,17711.841,17718.995,17707.598,17717.783,221
2015.06.15 09:46,17717.700,17725.986,17717.700,17723.955,206
2015.06.15 09:47,17723.833,17724.805,17712.670,17714.939,200
2015.06.15 09:48,17712.836,17712.836,17704.696,17709.991,196
2015.06.15 09:49,17709.855,17714.859,17704.653,17711.933,204
2015.06.15 09:50,17710.620,17710.754,17692.451,17700.827,235
2015.06.15 09:51,17700.904,17706.993,17695.659,17706.765,194
2015.06.15 09:52,17705.845,17708.927,17704.674,17704.886,133
2015.06.15 09:53,17704.945,17710.990,17703.561,17710.819,157
2015.06.15 09:54,17710.743,17714.970,17704.746,17714.970,174
2015.06.15 09:55,17715.979,17723.959,17711.767,17721.760,179
2015.06.15 09:56,17721.891,17724.922,17719.668,17720.885,154
2015.06.15 09:57,17720.839,17730.988,17719.555,17725.596,142
2015.06.15 09:58,17725.759,17729.912,17720.713,17722.939,115
2015.06.15 09:59,17722.987,17727.786,17722.667,17725.827,99
2015.06.15 10:00,17725.994,17728.000,17716.530,17728.000,166
2015.06.15 10:01,17728.747,17737.916,17727.664,17730.738,206
2015.06.15 10:02,17730.636,17743.907,17729.679,17742.914,186
2015.06.15 10:03,17741.989,17748.995,17740.665,17747.968,201
2015.06.15 10:04,17747.943,17748.988,17742.707,17744.801,190
2015.06.15 10:05,17744.830,17745.987,17731.642,17733.814,182
2015.06.15 10:06,17733.946,17734.865,17730.615,17730.882,181
2015.06.15 10:07,17730.971,17736.970,17728.707,17733.997,154
2015.06.15 10:08,17733.949,17733.949,17725.736,17727.868,158
2015.06.15 10:09,17725.659,17730.920,17724.722,17729.756,125
2015.06.15 10:10,17728.905,17729.921,17717.730,17718.670,173
2015.06.15 10:11,17718.940,17731.928,17715.775,17731.906,155
2015.06.15 10:12,17732.793,17746.917,17732.661,17745.800,187
2015.06.15 10:13,17744.755,17745.971,17740.668,17740.907,152
2015.06.15 10:14,17740.920,17742.992,17739.666,17740.824,150
2015.06.15 10:15,17740.952,17750.825,17738.715,17745.870,167
2015.06.15 10:16,17745.790,17746.985,17736.678,17737.791,161
2015.06.15 10:17,17737.921,17741.998,17737.687,17739.711,132
2015.06.15 10:18,17739.960,17741.000,17734.661,17734.661,135
2015.06.15 10:19,17733.695,17735.988,17723.742,17724.798,144
2015.06.15 10:20,17724.773,17734.981,17724.773,17733.936,142
2015.06.15 10:21,17733.728,17744.906,17730.675,17741.901,169
2015.06.15 10:22,17741.824,17741.947,17735.758,17735.857,143
2015.06.15 10:23,17734.761,17734.941,17727.703,17728.778,138
2015.06.15 10:24,17727.894,17729.989,17717.687,17719.892,161
2015.06.15 10:25,17719.961,17721.979,17717.566,17719.970,163
2015.06.15 10:26,17719.787,17723.885,17711.622,17721.756,189
2015.06.15 10:27,17721.945,17732.952,17720.846,17732.910,152
2015.06.15 10:28,17732.965,17732.996,17728.564,17731.855,139
2015.06.15 10:29,17731.771,17734.967,17727.702,17727.828,124
2015.06.15 10:30,17727.783,17729.993,17723.651,17725.921,160
2015.06.15 10:31,17725.992,17727.985,17717.762,17718.873,146
2015.06.15 10:32,17716.657,17726.935,17716.657,17724.717,179
2015.06.15 10:33,17724.924,17733.910,17722.746,17731.925,138
2015.06.15 10:34,17731.847,17731.847,17725.714,17725.915,160
2015.06.15 10:35,17724.919,17728.935,17722.660,17724.919,140
2015.06.15 10:36,17724.907,17728.917,17724.715,17726.730,118
2015.06.15 10:37,17726.722,17746.995,17726.722,17744.845,193
2015.06.15 10:38,17745.857,17745.999,17737.711,17737.753,175
2015.06.15 10:39,17738.803,17741.985,17734.790,17736.825,150
2015.06.15 10:40,17735.933,17739.999,17735.926,17739.882,142
2015.06.15 10:41,17739.711,17744.986,17731.812,17733.776,140
2015.06.15 10:42,17733.919,17739.998,17732.739,17734.824,129
2015.06.15 10:43,17736.955,17738.873,17724.538,17724.950,122
2015.06.15 10:44,17724.920,17727.994,17718.752,17722.705,158
2015.06.15 10:45,17722.804,17725.942,17720.702,17723.962,133
2015.06.15 10:46,17723.891,17733.986,17723.716,17732.784,139
2015.06.15 10:47,17732.939,17741.965,17732.869,17737.820,152
