file;expert;ora_piena;data;ora;simbolo;lato;uscita;livello_richiesto;prezzo_eseguito;volume;profitto;scarto_sfav
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.21 13:05:48;2024.11.21;13;D30EUR;long;tp;19068.1;19068.2;21.0;1820.7;-0.10000000000218279
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.25 07:33:36;2024.11.25;7;D30EUR;long;sl;19400.3;19400.1;82.1;-944.15;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.25 09:52:22;2024.11.25;9;D30EUR;long;sl;19385.3;19384.3;32.9;-950.81;1.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.25 12:12:33;2024.11.25;12;D30EUR;long;sl;19357.3;19357.3;28.1;-907.63;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.26 10:03:03;2024.11.26;10;D30EUR;long;tp;19289.4;19289.5;91.8;1808.46;-0.09999999999854481
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.26 13:11:34;2024.11.26;13;D30EUR;long;tp;19370.9;19370.9;26.7;1831.62;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.27 07:09:19;2024.11.27;7;D30EUR;long;sl;19274.3;19274.3;39.2;-936.88;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.27 09:00:30;2024.11.27;9;D30EUR;long;sl;19274.3;19270.9;22.4;-1003.52;3.399999999997817
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.27 10:30:00;2024.11.27;10;D30EUR;long;sl;19214.9;19214.7;29.1;-922.47;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.11.29 12:30:14;2024.11.29;12;D30EUR;long;tp;19460.4;19460.7;29.3;1819.53;-0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.02 11:16:01;2024.12.02;11;D30EUR;long;tp;19716.6;19717.2;8.2;1846.64;-0.6000000000021828
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.03 09:04:13;2024.12.03;9;D30EUR;long;tp;19958.7;19959.2;42.4;1903.76;-0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.04 09:03:46;2024.12.04;9;D30EUR;long;tp;20129.2;20129.9;12.3;1929.87;-0.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.05 07:51:42;2024.12.05;7;D30EUR;long;sl;20196.0;20195.8;37.7;-987.74;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.05 09:03:36;2024.12.05;9;D30EUR;long;tp;20243.0;20243.4;56.7;1961.82;-0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.10 01:16:01;2024.12.10;1;D30EUR;long;sl;20309.6;20306.8;10.8;-1018.44;2.7999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.10 12:25:31;2024.12.10;12;D30EUR;long;tp;20356.4;20357.1;29.9;1970.41;-0.6999999999970896
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.11 17:11:34;2024.12.11;17;D30EUR;long;tp;20393.9;20394.4;26.5;2006.05;-0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.13 09:25:55;2024.12.13;9;D30EUR;long;tp;20497.6;20497.7;22.0;2035.0;-0.10000000000218279
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.13 16:42:15;2024.12.13;16;D30EUR;long;sl;20390.9;20390.9;48.8;-1034.56;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.13 18:36:14;2024.12.13;18;D30EUR;long;sl;20386.0;20384.8;100.0;-950.0;1.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.16 08:32:48;2024.12.16;8;D30EUR;long;sl;20390.7;20390.4;100.0;-920.0;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.16 10:01:47;2024.12.16;10;D30EUR;long;sl;20342.0;20342.0;52.7;-1006.57;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.16 10:33:20;2024.12.16;10;D30EUR;long;sl;20340.9;20340.5;75.5;-1026.8;0.4000000000014552
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.17 08:47:10;2024.12.17;8;D30EUR;long;sl;20267.7;20267.7;50.8;-985.52;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2024.12.17 14:06:58;2024.12.17;14;D30EUR;long;sl;20260.7;20260.6;29.7;-977.13;0.10000000000218279
